# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.379998650931e-10       4.485801696275e-15       3.656262825776e-13       0.000000000000e+00       8.049619350539e-09       4.500362030644e-10      -1.913399484822e-12 
    3       1.305820016609e-10       5.981034614511e-15       4.169830122943e-13       0.000000000000e+00       5.036611570061e-09       3.206206193982e-10      -1.482512887183e-12 
    4       1.235062802871e-10       5.391916695299e-15       3.947217950571e-13       0.000000000000e+00       3.512566870464e-09       2.430752903267e-10      -1.002322818171e-12 
    5       1.181714555704e-10       3.754761995073e-15       3.399853365640e-13       0.000000000000e+00       2.623584106631e-09       1.921085910250e-10      -5.866793204964e-13 
    6       1.144866064030e-10       2.171906139523e-15       2.764634787467e-13       0.000000000000e+00       2.048892666745e-09       1.563412152451e-10      -2.694569171125e-13 
    7       1.120815970664e-10       1.171487381714e-15       2.182805038199e-13       0.000000000000e+00       1.651143065374e-09       1.300740482372e-10      -5.658003147674e-14 
    8       1.106605575235e-10       7.220491701603e-16       1.720903283171e-13       0.000000000000e+00       1.362914557722e-09       1.101543275736e-10       6.245716423305e-14 
    9       1.099733581916e-10       5.644486386195e-16       1.398851977006e-13       0.000000000000e+00       1.146934636078e-09       9.467651432561e-11       1.073527242027e-13 
   10       1.098124135915e-10       4.873017661401e-16       1.208637794512e-13       0.000000000000e+00       9.804141849503e-10       8.240341585084e-11       1.017426620344e-13 
   11       1.100893147084e-10       4.139331602572e-16       1.126714630569e-13       0.000000000000e+00       8.260808875027e-10       7.274448317756e-11       6.904013318242e-14 
   12       1.106891556951e-10       3.534659850961e-16       1.122684971365e-13       0.000000000000e+00       7.217000074542e-10       6.437995569374e-11       2.799909251561e-14 
   13       1.115407380455e-10       3.263540911687e-16       1.167611463170e-13       0.000000000000e+00       6.360216096767e-10       5.755444808092e-11      -7.652009551770e-15 
   14       1.125709391564e-10       3.312099445790e-16       1.238813151934e-13       0.000000000000e+00       5.647421051959e-10       5.158982209086e-11      -3.122745321525e-14 
   15       1.137872726309e-10       3.534951831533e-16       1.320657796730e-13       0.000000000000e+00       5.047480865107e-10       4.657684524618e-11      -4.067878583738e-14 
   16       1.151458136853e-10       3.843672848791e-16       1.404105994687e-13       0.000000000000e+00       4.537436737969e-10       4.228326601974e-11      -3.837663349976e-14 
   17       1.166146125378e-10       4.266922012429e-16       1.485713534990e-13       0.000000000000e+00       4.099948821176e-10       3.855077830846e-11      -2.882263275784e-14 
   18       1.181661881495e-10       4.885963482070e-16       1.566784244050e-13       0.000000000000e+00       3.720267323036e-10       3.525183017243e-11      -1.717126001753e-14 
   19       1.198125049185e-10       5.731413277437e-16       1.649764708106e-13       0.000000000000e+00       3.392362249223e-10       3.236120737252e-11      -6.848210272814e-15 
   20       1.215251046133e-10       6.804869866597e-16       1.737148265524e-13       0.000000000000e+00       3.103581887188e-10       2.981712498035e-11      -7.784356538591e-16 
   21       1.233129166006e-10       8.089070351117e-16       1.830017026127e-13       0.000000000000e+00       2.849389303383e-10       2.757528485691e-11       6.362884132836e-16 
   22       1.251647180604e-10       9.557326150057e-16       1.928188017621e-13       0.000000000000e+00       2.623705276380e-10       2.556032420167e-11      -1.749402685758e-15 
   23       1.270748364797e-10       1.121312579225e-15       2.028637002942e-13       0.000000000000e+00       2.423421693538e-10       2.374582793099e-11      -6.415880901036e-15 
   24       1.290214662218e-10       1.306651784735e-15       2.126897139592e-13       0.000000000000e+00       2.243900529982e-10       2.210190752295e-11      -1.137791592826e-14 
   25       1.310203469938e-10       1.511497788821e-15       2.219840693276e-13       0.000000000000e+00       2.083027293811e-10       2.062735546249e-11      -1.527095211522e-14 
   26       1.330799943470e-10       1.735302387860e-15       2.304555037438e-13       0.000000000000e+00       1.937888779896e-10       1.931176962686e-11      -1.700575056579e-14 
   27       1.351836155348e-10       1.979216800171e-15       2.378836313468e-13       0.000000000000e+00       1.806742520601e-10       1.812437824512e-11      -1.660974350343e-14 
   28       1.372994383119e-10       2.245040586776e-15       2.441004255039e-13       0.000000000000e+00       1.687325955865e-10       1.702226218703e-11      -1.459827543900e-14 
   29       1.394374261108e-10       2.534618334217e-15       2.491325896070e-13       0.000000000000e+00       1.579027884989e-10       1.600436200155e-11      -1.167470775040e-14 
   30       1.416109467716e-10       2.849971931090e-15       2.531069314770e-13       0.000000000000e+00       1.480683752818e-10       1.507543887832e-11      -8.785253010935e-15 
   31       1.438229116581e-10       3.193072484757e-15       2.561699264813e-13       0.000000000000e+00       1.390285506839e-10       1.423179111460e-11      -6.903040363813e-15 
   32       1.460751188552e-10       3.564826238800e-15       2.583374366918e-13       0.000000000000e+00       1.307365150039e-10       1.346496049454e-11      -6.164434868329e-15 
   33       1.483596882924e-10       3.965691930656e-15       2.595904768767e-13       0.000000000000e+00       1.231335226470e-10       1.275764385559e-11      -6.407154866685e-15 
   34       1.506625233680e-10       4.396066292216e-15       2.598941956703e-13       0.000000000000e+00       1.161130572376e-10       1.208901767877e-11      -7.373876079527e-15 
   35       1.529890722155e-10       4.856772047080e-15       2.591290019331e-13       0.000000000000e+00       1.096391367441e-10       1.146009179194e-11      -8.669652801599e-15 
   36       1.553459344210e-10       5.348729876919e-15       2.571328670498e-13       0.000000000000e+00       1.036597900696e-10       1.087643866016e-11      -9.776038491825e-15 
   37       1.577347501889e-10       5.872819769857e-15       2.537445121186e-13       0.000000000000e+00       9.809715942101e-11       1.034076728714e-11      -1.019697081426e-14 
   38       1.601571812290e-10       6.429855866810e-15       2.488960447489e-13       0.000000000000e+00       9.293685025773e-11       9.851309920949e-12      -9.949286217827e-15 
   39       1.626103968044e-10       7.020597865382e-15       2.425501775706e-13       0.000000000000e+00       8.816247048219e-11       9.402386273157e-12      -9.233724074923e-15 
   40       1.650849077337e-10       7.645753383538e-15       2.346758797298e-13       0.000000000000e+00       8.372845238113e-11       8.984429266312e-12      -8.308585433267e-15 
   41       1.675693514617e-10       8.305978892121e-15       2.252541487469e-13       0.000000000000e+00       7.957592071497e-11       8.586945631690e-12      -7.441096199280e-15 
   42       1.700682840459e-10       9.001891117648e-15       2.142967218244e-13       0.000000000000e+00       7.569262688394e-11       8.209318922643e-12      -6.733106752064e-15 
   43       1.725890854570e-10       9.734053582016e-15       2.018340606773e-13       0.000000000000e+00       7.206824222081e-11       7.852989648901e-12      -6.245196738947e-15 
   44       1.751367524553e-10       1.050296949154e-14       1.879111830259e-13       0.000000000000e+00       6.867637356920e-11       7.518391161439e-12      -6.044575723976e-15 
   45       1.777140661669e-10       1.130909864587e-14       1.725667145232e-13       0.000000000000e+00       6.548398402976e-11       7.205113988186e-12      -6.178741549105e-15 
