# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380003267936e-10       4.486023740614e-15       3.656262786198e-13       2.220442069297e-19       8.049619350539e-09       4.500362030644e-10      -1.913399484822e-12 
    3       1.305829228126e-10       5.981478748787e-15       4.169829946552e-13       4.441329667359e-19       5.036611570061e-09       3.206206193982e-10      -1.482512887183e-12 
    4       1.235078106025e-10       5.392657023644e-15       3.947217443691e-13       7.403219070646e-19       3.512566870464e-09       2.430752903267e-10      -1.002322818171e-12 
    5       1.181737419314e-10       3.755872691066e-15       3.399852210795e-13       1.110673915624e-18       2.623584106631e-09       1.921085910250e-10      -5.866793204964e-13 
    6       1.144897922931e-10       2.173461470185e-15       2.764632516386e-13       1.555270343292e-18       2.048892666745e-09       1.563412152451e-10      -2.694569171125e-13 
    7       1.120858220891e-10       1.173561734853e-15       2.182801007220e-13       2.074212484535e-18       1.651143065374e-09       1.300740482372e-10      -5.658003147674e-14 
    8       1.106659570170e-10       7.247170847619e-16       1.720896651370e-13       2.667623031141e-18       1.362914557722e-09       1.101543275736e-10       6.245716423305e-14 
    9       1.099800629462e-10       5.677848375397e-16       1.398841687283e-13       3.335647352701e-18       1.146934636078e-09       9.467651432561e-11       1.073527242027e-13 
   10       1.098205496734e-10       4.913811899629e-16       1.208622557785e-13       4.078454455454e-18       9.804141849503e-10       8.240341585084e-11       1.017426620344e-13 
   11       1.100990033899e-10       4.188310007896e-16       1.126692913121e-13       4.896237477544e-18       8.260808875027e-10       7.274448317756e-11       6.904013318242e-14 
   12       1.107005134859e-10       3.592577166792e-16       1.122654985317e-13       5.789213593489e-18       7.217000074542e-10       6.437995569374e-11       2.799909251561e-14 
   13       1.115538768192e-10       3.331154977677e-16       1.167571159981e-13       6.757623222970e-18       6.360216096767e-10       5.755444808092e-11      -7.652009551770e-15 
   14       1.125859663613e-10       3.390171405144e-16       1.238760218766e-13       7.801728468185e-18       5.647421051959e-10       5.158982209086e-11      -3.122745321525e-14 
   15       1.138042915712e-10       3.624246253607e-16       1.320589655449e-13       8.921810738628e-18       5.047480865107e-10       4.657684524618e-11      -4.067878583738e-14 
   16       1.151649238591e-10       3.944957747400e-16       1.404019803255e-13       1.011816756062e-17       4.537436737969e-10       4.228326601974e-11      -3.837663349976e-14 
   17       1.166359100141e-10       4.380968743165e-16       1.485606190964e-13       1.139110860970e-17       4.099948821176e-10       3.855077830846e-11      -2.882263275784e-14 
