# Matter power spectrum P(k) at redshift z=3
# for k=1.04309e-05 to 1.16724 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043087111886e-05       4.783199833361e+00 
       2.328827449386e-05       1.040220561858e+01 
       3.619072871606e-05       1.593376784089e+01 
       4.917282183693e-05       2.143305235615e+01 
       6.226971192524e-05       2.693211612473e+01 
       7.551743942081e-05       3.245538723929e+01 
       8.895324944123e-05       3.802401850113e+01 
       1.026159283136e-04       4.365767997828e+01 
       1.165461586368e-04       4.937548527642e+01 
       1.307868972119e-04       5.519655894939e+01 
       1.453837801876e-04       6.114043619463e+01 
       1.603855597069e-04       6.722737879487e+01 
       1.758445761706e-04       7.347864856584e+01 
       1.918172698705e-04       7.991676034640e+01 
       2.083647351037e-04       8.656572695786e+01 
       2.255533188239e-04       9.345130316316e+01 
       2.434552642627e-04       1.006012321754e+02 
       2.621493975277e-04       1.080454956057e+02 
       2.817218517194e-04       1.158165651803e+02 
       3.022668182466e-04       1.239496519218e+02 
       3.238873084228e-04       1.324829452234e+02 
       3.466958996713e-04       1.414578304098e+02 
       3.708154293954e-04       1.509190686203e+02 
       3.963795855232e-04       1.609149171825e+02 
       4.235333259189e-04       1.714971621326e+02 
       4.524330397698e-04       1.827210273780e+02 
       4.832463440056e-04       1.946449180958e+02 
       5.161513892349e-04       2.073299500047e+02 
       5.513355365760e-04       2.208392133150e+02 
       5.889932648010e-04       2.352367226676e+02 
       6.293231836308e-04       2.505860148345e+02 
       6.725240716151e-04       2.669483778131e+02 
       7.187899322899e-04       2.843807296210e+02 
       7.683041722460e-04       3.029332133535e+02 
       8.212331433263e-04       3.226466317730e+02 
       8.777194411226e-04       3.435499035424e+02 
       9.378754844777e-04       3.656577688704e+02 
       1.001777979754e-03       3.889689921116e+02 
       1.069463865657e-03       4.134652898872e+02 
       1.140928221200e-03       4.391149790918e+02 
       1.216124409039e-03       4.658545716005e+02 
       1.294966455752e-03       4.936287741103e+02 
       1.377333396527e-03       5.223524192115e+02 
       1.463075092930e-03       5.519366880692e+02 
       1.552018910536e-03       5.822880118599e+02 
       1.643976630940e-03       6.133075927985e+02 
       1.738751054004e-03       6.449187855991e+02 
       1.836141886733e-03       6.769711630666e+02 
       1.935950675729e-03       7.093880697123e+02 
       2.037984688679e-03       7.421080857732e+02 
       2.142059767157e-03       7.750299566534e+02 
       2.248002251254e-03       8.080830879033e+02 
       2.355650118765e-03       8.412154900951e+02 
       2.464853495250e-03       8.743125677205e+02 
       2.575474685496e-03       9.073095981535e+02 
       2.687387859711e-03       9.401912549177e+02 
       2.800478505666e-03       9.729359983213e+02 
       2.914642735143e-03       1.005485365701e+03 
       3.029786512017e-03       1.037840383900e+03 
       3.145824851236e-03       1.069865867691e+03 
       3.262681023307e-03       1.101548313342e+03 
       3.380285787376e-03       1.132946916122e+03 
       3.498576667373e-03       1.164044639956e+03 
       3.617497279291e-03       1.194803679458e+03 
       3.736996713182e-03       1.225139702881e+03 
       3.857028970359e-03       1.255089870089e+03 
       3.977552454248e-03       1.284641958743e+03 
       4.098529512081e-03       1.313816229693e+03 
       4.219926023879e-03       1.342595310178e+03 
       4.341711034873e-03       1.370988214500e+03 
       4.463856427418e-03       1.398930096967e+03 
       4.586336628543e-03       1.426436317627e+03 
       4.709128349491e-03       1.453487033779e+03 
       4.832210353843e-03       1.480199314299e+03 
       4.955563251102e-03       1.506417066387e+03 
       5.079169312920e-03       1.532151414444e+03 
       5.203012309401e-03       1.557495203861e+03 
       5.327077363214e-03       1.582447351730e+03 
       5.451350819471e-03       1.607030722648e+03 
       5.575820129577e-03       1.631137734050e+03 
       5.700473747441e-03       1.654817308903e+03 
       5.825301036651e-03       1.678068408184e+03 
       5.950292187350e-03       1.700927954158e+03 
       6.075438141725e-03       1.723401302092e+03 
       6.200730527134e-03       1.745452051079e+03 
       6.326161596013e-03       1.767052934576e+03 
       6.451724171817e-03       1.788227530917e+03 
       6.577411600327e-03       1.809057098110e+03 
       6.703217705732e-03       1.829503910581e+03 
       6.829136750972e-03       1.849511778781e+03 
       6.955163401890e-03       1.869138607797e+03 
       7.081292694779e-03       1.888347095262e+03 
       7.207520006971e-03       1.907246702518e+03 
       7.333841030152e-03       1.925690396656e+03 
       7.460251746124e-03       1.943758026703e+03 
       7.586748404751e-03       1.961453566552e+03 
       7.713327503892e-03       1.978815067424e+03 
       7.839985771098e-03       1.995837132373e+03 
       7.966720146919e-03       2.012440417604e+03 
       8.093527769644e-03       2.028694124938e+03 
       8.220405961357e-03       2.044620120082e+03 
       8.347352215166e-03       2.060165985828e+03 
       8.474364183501e-03       2.075440226570e+03 
       8.601439667380e-03       2.090317971654e+03 
       8.728576606557e-03       2.104769295959e+03 
       8.855773070466e-03       2.118819171453e+03 
       8.983027249886e-03       2.132579336864e+03 
       9.110337449280e-03       2.146060595055e+03 
       9.237702079726e-03       2.159171850280e+03 
       9.365119652396e-03       2.171990952240e+03 
       9.492588772554e-03       2.184528902971e+03 
       9.620108133991e-03       2.196770220498e+03 
       9.747676513897e-03       2.208688160323e+03 
       9.875292768116e-03       2.220303603199e+03 
       1.000295582674e-02       2.231622837770e+03 
       1.013066469007e-02       2.242646053142e+03 
       1.025841842478e-02       2.253382454059e+03 
       1.038621616051e-02       2.263822256859e+03 
       1.051405708656e-02       2.273983190631e+03 
       1.064194044887e-02       2.283867218966e+03 
       1.076986554729e-02       2.293464140430e+03 
       1.089783173291e-02       2.302783351850e+03 
       1.102583840571e-02       2.311834684546e+03 
       1.115388501225e-02       2.320614769954e+03 
       1.128197104364e-02       2.329125409966e+03 
       1.141009603360e-02       2.337373976250e+03 
       1.153825955662e-02       2.345361278562e+03 
       1.166646122628e-02       2.353091749145e+03 
       1.179470069373e-02       2.360561961611e+03 
       1.192297764623e-02       2.367782263336e+03 
       1.205129180575e-02       2.374753410668e+03 
       1.217964292777e-02       2.381481281500e+03 
       1.230803080009e-02       2.387964886914e+03 
       1.243645524175e-02       2.394208977094e+03 
       1.256491610200e-02       2.400212903407e+03 
       1.269341325940e-02       2.405982634682e+03 
       1.282194662094e-02       2.411519339790e+03 
       1.295051612122e-02       2.416827918908e+03 
       1.307912172171e-02       2.421910274054e+03 
       1.320776341008e-02       2.426769194364e+03 
       1.333644119956e-02       2.431407773222e+03 
       1.346515512834e-02       2.435827638184e+03 
       1.359390525904e-02       2.440032545182e+03 
       1.372269167822e-02       2.444024201094e+03 
       1.385151449592e-02       2.447805224051e+03 
       1.398037384525e-02       2.451378607001e+03 
       1.410926988205e-02       2.454746879708e+03 
       1.423820278447e-02       2.457912710110e+03 
       1.436717275277e-02       2.460878528277e+03 
       1.449618000895e-02       2.463646521789e+03 
       1.462522479659e-02       2.466219874874e+03 
       1.475430738058e-02       2.468600494601e+03 
       1.488342804698e-02       2.470791238446e+03 
       1.501258710284e-02       2.472794479296e+03 
       1.514178487608e-02       2.474612851060e+03 
       1.527102171537e-02       2.476248322922e+03 
       1.540029799009e-02       2.477703343882e+03 
       1.552961409021e-02       2.478980820141e+03 
       1.565897042633e-02       2.480082514018e+03 
       1.578836742961e-02       2.481010968093e+03 
       1.591780555180e-02       2.481768557436e+03 
       1.604728526527e-02       2.482357475059e+03 
       1.617680706305e-02       2.482779728113e+03 
       1.630637145891e-02       2.483038377559e+03 
       1.643597898745e-02       2.483135194436e+03 
       1.656563020418e-02       2.483072131851e+03 
       1.669532568568e-02       2.482851745931e+03 
       1.682506602971e-02       2.482476193499e+03 
       1.695485185541e-02       2.481947522658e+03 
       1.708468380341e-02       2.481267945422e+03 
       1.721456253612e-02       2.480439828723e+03 
       1.734448873784e-02       2.479465068868e+03 
       1.747446311506e-02       2.478345414534e+03 
       1.760448639668e-02       2.477083603128e+03 
       1.773455933427e-02       2.475681460325e+03 
       1.786468270236e-02       2.474141037607e+03 
       1.799485729872e-02       2.472464184044e+03 
       1.812508394467e-02       2.470653097095e+03 
       1.825536348543e-02       2.468709764232e+03 
       1.838569679045e-02       2.466636098244e+03 
       1.851608475377e-02       2.464434313422e+03 
       1.864652829440e-02       2.462106009405e+03 
       1.877702835672e-02       2.459653263575e+03 
       1.890758591090e-02       2.457078065298e+03 
       1.903820195330e-02       2.454382530021e+03 
       1.916887750696e-02       2.451568303682e+03 
       1.929961362202e-02       2.448637244060e+03 
       1.943041137625e-02       2.445591204934e+03 
       1.956127187550e-02       2.442432424774e+03 
       1.969219625428e-02       2.439162506280e+03 
       1.982318567624e-02       2.435783305226e+03 
       1.995424133477e-02       2.432296654125e+03 
       2.008536445356e-02       2.428704338397e+03 
       2.021655628720e-02       2.425009033204e+03 
       2.034781812179e-02       2.421210777080e+03 
       2.047915127561e-02       2.417312282014e+03 
       2.061055709972e-02       2.413315339265e+03 
       2.074203697873e-02       2.409221434435e+03 
       2.087359233141e-02       2.405032462951e+03 
       2.100522461148e-02       2.400747132595e+03 
       2.113693530836e-02       2.396373059227e+03 
       2.126872594789e-02       2.391908869298e+03 
       2.140059809319e-02       2.387356325446e+03 
       2.153255334547e-02       2.382716978340e+03 
       2.166459334486e-02       2.378041172340e+03 
       2.179671977128e-02       2.373233031792e+03 
       2.192893434542e-02       2.368342261468e+03 
       2.206123882956e-02       2.363371370871e+03 
       2.219363502864e-02       2.358321962209e+03 
       2.232612479118e-02       2.353239008516e+03 
       2.245871001034e-02       2.348041904904e+03 
       2.259139262495e-02       2.342764607029e+03 
       2.272417462066e-02       2.337414816028e+03 
       2.285705803096e-02       2.331993744107e+03 
       2.299004493844e-02       2.326543587355e+03 
       2.312313747594e-02       2.320985202968e+03 
       2.325633782777e-02       2.315359836447e+03 
       2.338964823100e-02       2.309673224586e+03 
       2.352307097677e-02       2.303918273258e+03 
       2.365660841166e-02       2.298138277185e+03 
       2.379026293904e-02       2.292259632609e+03 
       2.392403702055e-02       2.286321379348e+03 
       2.405793317759e-02       2.280324956907e+03 
       2.419195399280e-02       2.274272017574e+03 
       2.432610211173e-02       2.268200765932e+03 
       2.446038024440e-02       2.262038269926e+03 
       2.459479116701e-02       2.255822954545e+03 
       2.472933772370e-02       2.249555505461e+03 
       2.486402282834e-02       2.243268061762e+03 
       2.499884946638e-02       2.236900871387e+03 
       2.513382069678e-02       2.230486132958e+03 
       2.526893965399e-02       2.224024803208e+03 
       2.540420955002e-02       2.217547391109e+03 
       2.553963367652e-02       2.211001483624e+03 
       2.567521540700e-02       2.204407169925e+03 
       2.581095819910e-02       2.197771543634e+03 
       2.594686559691e-02       2.191096565506e+03 
       2.608294123343e-02       2.184405308478e+03 
       2.621918883302e-02       2.177651016028e+03 
       2.635561221406e-02       2.170862649043e+03 
       2.649221529159e-02       2.164042852358e+03 
       2.662900208010e-02       2.157202812889e+03 
       2.676597669644e-02       2.150307475106e+03 
       2.690314336273e-02       2.143378650587e+03 
       2.704050640954e-02       2.136417935947e+03 
       2.717807027901e-02       2.129445119133e+03 
       2.731583952821e-02       2.122427222316e+03 
       2.745381883258e-02       2.115377817905e+03 
       2.759201298946e-02       2.108301674744e+03 
       2.773042692183e-02       2.101202542075e+03 
       2.786906568212e-02       2.094096004951e+03 
       2.800793445619e-02       2.086942132033e+03 
       2.814703856748e-02       2.079764470209e+03 
       2.828638348128e-02       2.072565748190e+03 
       2.842597480921e-02       2.065358375605e+03 
       2.856581831380e-02       2.058114328669e+03 
       2.870591991337e-02       2.050853568820e+03 
       2.884628568698e-02       2.043572637250e+03 
       2.898692187962e-02       2.036272493179e+03 
       2.912783490767e-02       2.028969579219e+03 
       2.926903136447e-02       2.021634804071e+03 
       2.941051802621e-02       2.014283610426e+03 
       2.955230185800e-02       2.006915865751e+03 
       2.969439002024e-02       1.999546310783e+03 
       2.983678987522e-02       1.992153699496e+03 
       2.997950899399e-02       1.984745171346e+03 
       3.012255516359e-02       1.977326012215e+03 
       3.026593639451e-02       1.969893878959e+03 
       3.040966092849e-02       1.962462488219e+03 
       3.055373724671e-02       1.955012169194e+03 
       3.069817407827e-02       1.947552975043e+03 
       3.084298040910e-02       1.940081392093e+03 
       3.098816549125e-02       1.932601716530e+03 
       3.113373885257e-02       1.925125121244e+03 
       3.127971030688e-02       1.917631673613e+03 
       3.142608996458e-02       1.910130164803e+03 
       3.157288824377e-02       1.902625242383e+03 
       3.172011588184e-02       1.895124071614e+03 
       3.186778394768e-02       1.887608612940e+03 
       3.201590385444e-02       1.880091422154e+03 
       3.216448737287e-02       1.872570713816e+03 
       3.231354664538e-02       1.865047150290e+03 
       3.246309420069e-02       1.857542307421e+03 
       3.261314296936e-02       1.850010861425e+03 
       3.276370629993e-02       1.842477996172e+03 
       3.291479797597e-02       1.834945841802e+03 
       3.306643223401e-02       1.827419169121e+03 
       3.321862378231e-02       1.819884222032e+03 
       3.337138782075e-02       1.812349687877e+03 
       3.352474006161e-02       1.804830307972e+03 
       3.367869675157e-02       1.797303505836e+03 
       3.383327469485e-02       1.789770169842e+03 
       3.398849127761e-02       1.782238751370e+03 
       3.414436449371e-02       1.774712538535e+03 
       3.430091297184e-02       1.767184740618e+03 
       3.445815600430e-02       1.759680005825e+03 
       3.461611357727e-02       1.752161263630e+03 
       3.477480640292e-02       1.744639892981e+03 
       3.493425595333e-02       1.737122206065e+03 
       3.509448449647e-02       1.729613110481e+03 
       3.525551513422e-02       1.722102929967e+03 
       3.541737184277e-02       1.714608660054e+03 
       3.558007951546e-02       1.707107054119e+03 
       3.574366400818e-02       1.699611566869e+03 
       3.590815218772e-02       1.692119951660e+03 
       3.607357198311e-02       1.684630268466e+03 
       3.623995244023e-02       1.677142680170e+03 
       3.640732377997e-02       1.669675023965e+03 
       3.657571746023e-02       1.662199426035e+03 
       3.674516624198e-02       1.654725923875e+03 
       3.691570425979e-02       1.647260998737e+03 
       3.708736709721e-02       1.639795040250e+03 
       3.726019186724e-02       1.632342885789e+03 
       3.743421729854e-02       1.624887908234e+03 
       3.760948382773e-02       1.617438464794e+03 
       3.778603369826e-02       1.609991290791e+03 
       3.796391106656e-02       1.602544895332e+03 
       3.814316211602e-02       1.595113829135e+03 
       3.832383517951e-02       1.587681726023e+03 
       3.850598087121e-02       1.580247230056e+03 
       3.868965222866e-02       1.572816127601e+03 
       3.887490486590e-02       1.565390970887e+03 
       3.906179713880e-02       1.557975124657e+03 
       3.925039032378e-02       1.550553936412e+03 
       3.944074881114e-02       1.543134074026e+03 
       3.963294031455e-02       1.535712753767e+03 
       3.982703609824e-02       1.528300341454e+03 
       4.002311122373e-02       1.520884419474e+03 
       4.022124481822e-02       1.513465293417e+03 
       4.042152036677e-02       1.506047329873e+03 
       4.062402603089e-02       1.498628073479e+03 
       4.082885499657e-02       1.491216191394e+03 
       4.103610585475e-02       1.483794507335e+03 
       4.124588301813e-02       1.476366715612e+03 
       4.145829717843e-02       1.468940157560e+03 
       4.167346580881e-02       1.461511213409e+03 
       4.189151371685e-02       1.454072498635e+03 
       4.211257365431e-02       1.446627246536e+03 
       4.233678699063e-02       1.439172849643e+03 
       4.256430445825e-02       1.431708611616e+03 
       4.279528697902e-02       1.424241494589e+03 
       4.302990658230e-02       1.416758358373e+03 
       4.326834742715e-02       1.409270317873e+03 
       4.351080694273e-02       1.401763534336e+03 
       4.375749710350e-02       1.394246757196e+03 
       4.400864585843e-02       1.386708195780e+03 
       4.426449873674e-02       1.379149613811e+03 
       4.452532065632e-02       1.371576797894e+03 
       4.479139796590e-02       1.363984553567e+03 
       4.506304075731e-02       1.356363551767e+03 
       4.534058549086e-02       1.348711701085e+03 
       4.562439798507e-02       1.341038258140e+03 
       4.591487683159e-02       1.333325777868e+03 
       4.621245730810e-02       1.325588451562e+03 
       4.651761587668e-02       1.317808752760e+03 
       4.683087537285e-02       1.309986010252e+03 
       4.715281101280e-02       1.302118250767e+03 
       4.748405737352e-02       1.294209225408e+03 
       4.782531653486e-02       1.286235824880e+03 
       4.817736761468e-02       1.278204306628e+03 
       4.854107798233e-02       1.270117137540e+03 
       4.891741650214e-02       1.261952362334e+03 
       4.930746924428e-02       1.253708622694e+03 
       4.971245820767e-02       1.245387115221e+03 
       5.013376373697e-02       1.236961944570e+03 
       5.057295149009e-02       1.228434993718e+03 
       5.103180503552e-02       1.219795463369e+03 
       5.151236544193e-02       1.211022898057e+03 
       5.201697958237e-02       1.202106903968e+03 
       5.254835932731e-02       1.193022986495e+03 
       5.310965436115e-02       1.183755395365e+03 
       5.370454203232e-02       1.174271104361e+03 
       5.433733842284e-02       1.164542608669e+03 
       5.501313563006e-02       1.154527803030e+03 
       5.573797090896e-02       1.144176148402e+03 
       5.651903340852e-02       1.133425243045e+03 
       5.736491287395e-02       1.122186844978e+03 
       5.828589012963e-02       1.110358596838e+03 
       5.929425811586e-02       1.097794046467e+03 
       6.040463892286e-02       1.084307068925e+03 
       6.163421749254e-02       1.069648709620e+03 
       6.300273497609e-02       1.053480173826e+03 
       6.453196853978e-02       1.035353996616e+03 
       6.624429598307e-02       1.014711540977e+03 
       6.815991463775e-02       9.908655282168e+02 
