#---------------------------...
#DATE: 2015-04-13
#L_MIN: 47.711
#L_MAX: 1988.02
#FILENAME: COM_PowerSpect_CMB_R2.01.fits
#PROCVER: DX11d
#+----------+------+------+--------+--------+
# ELL       LMIN  LMAX  D_ELL   ERR
#+----------+------+------+--------+--------+
 47.711    30    59    0.104   0.017
 76.472    60    89    0.431   0.027
 105.917   90    119   0.868   0.04
 135.605   120   149   1.094   0.049
 165.406   150   179   1.007   0.053
 195.267   180   209   0.809   0.058
 225.165   210   239   1.179   0.073
 255.087   240   269   2.942   0.107
 285.025   270   299   6.653   0.164
 314.975   300   329   11.942  0.237
 344.934   330   359   17.073  0.309
 374.899   360   389   20.379  0.359
 404.87    390   419   21.176  0.375
 434.844   420   449   18.977  0.358
 464.822   450   479   14.21   0.326
 494.803   480   509   9.897   0.297
 524.785   510   539   6.821   0.254
 554.77    540   569   9.167   0.294
 584.756   570   599   15.104  0.373
 614.744   600   629   24.174  0.473
 644.732   630   659   31.663  0.569
 674.722   660   689   36.59   0.635
 704.712   690   719   37.665  0.658
 734.704   720   749   30.901  0.647
 764.696   750   779   24.498  0.623
 794.688   780   809   17.594  0.613
 824.682   810   839   12.933  0.636
 854.675   840   869   14.013  0.698
 884.669   870   899   21.276  0.795
 914.664   900   929   27.445  0.916
 944.659   930   959   37.797  1.041
 974.654   960   989   40.162  1.149
 1004.649  990   1019  40.997  1.385
 1034.645  1020  1049  37.792  1.521
 1064.641  1050  1079  31.139  1.579
 1094.637  1080  1109  20.772  1.647
 1124.633  1110  1139  15.55   1.74
 1154.63   1140  1169  13.581  1.868
 1184.626  1170  1199  14.913  2.029
 1214.623  1200  1229  21.509  2.217
 1244.62   1230  1259  27.729  2.423
 1274.618  1260  1289  30.977  2.635
 1304.615  1290  1319  31.139  2.847
 1334.612  1320  1349  29.193  3.061
 1364.61   1350  1379  21.715  3.282
 1394.607  1380  1409  19.015  3.52
 1424.605  1410  1439  14.194  3.788
 1454.603  1440  1469  10.987  4.092
 1484.601  1470  1499  13.084  4.435
 1514.599  1500  1529  14.768  4.819
 1544.597  1530  1559  22.205  5.239
 1574.595  1560  1589  9.44    5.693
 1604.593  1590  1619  27.029  6.18
 1634.592  1620  1649  21.388  6.7
 1664.59   1650  1679  23.952  7.26
 1694.588  1680  1709  12.803  7.867
 1724.587  1710  1739  14.488  8.531
 1754.585  1740  1769  28.433  9.261
 1784.584  1770  1799  -1.795  10.064
 1814.583  1800  1829  21.576  10.946
 1844.581  1830  1859  0.342   11.912
 1874.58   1860  1889  19.183  12.967
 1904.579  1890  1919  9.607   14.117
 1934.577  1920  1949  14.983  15.368
 1964.576  1950  1979  4.392   16.73
 1988.024  1980  1996  13.506  24.141
#+----------+------+------+--------+--------+
